record_id,transaction_type,failure_reason,amount_inr,attempt_count,last_attempt_date,customer_name,customer_language_pref,payment_method,past_recovery_success,subscription_id,days_past_due,invoice_id,due_date,po_reference,counterparty_business_name,checkout_session_id,hours_since_checkout,promised_payment_date,recovery_status
TXN0068,b2b_invoice,bank_decline,120000,1,2026-09-04,Jhalak Kari,hi,,False,,,INV0068,2026-09-02,PO-92941,Tara-Kaul,,,,
TXN0069,b2b_invoice,invoice_overdue,120000,3,2026-09-01,Karan Jha,hinglish,,True,,,INV0069,2026-07-27,PO-27490,Kar Inc,,,,
TXN0070,subscription,insufficient_funds,2499,1,2026-08-26,Sai Bhavsar,en,credit_card,True,SUB0070,7,,,,,,,,
TXN0071,subscription,mandate_revoked,499,2,2026-08-29,Chakradev Koshy,en,credit_card,False,SUB0071,1,,,,,,,,
TXN0072,checkout_abandonment,cart_abandoned,5999,0,2026-08-23,Chameli Dhaliwal,hinglish,,True,,,,,,,order_cart_0072,12,,
TXN0073,subscription,card_expired,499,1,2026-09-03,Jason Mangat,hinglish,debit_card,False,SUB0073,2,,,,,,,,
TXN0074,b2b_invoice,bank_decline,15000,0,2026-09-02,Bhanumati Hegde,hi,,False,,,INV0074,2026-08-10,PO-30849,"Shroff, Sheth and Sibal",,,,
TXN0075,subscription,3ds_auth_fail,999,2,2026-09-01,Kai Bhagat,hinglish,credit_card,True,SUB0075,5,,,,,,,,
TXN0076,subscription,insufficient_funds,199,1,2026-08-24,Bhavini Mand,hi,netbanking,True,SUB0076,14,,,,,,,,
TXN0077,subscription,insufficient_funds,999,2,2026-08-31,Banjeet Bhatnagar,en,netbanking,True,SUB0077,13,,,,,,,,
TXN0078,b2b_invoice,bank_decline,15000,1,2026-08-23,Hamsini Parekh,en,,False,,,INV0078,2026-08-29,PO-96766,"Doshi, Krish and Thaman",,,,
TXN0079,subscription,card_expired,299,1,2026-08-30,Samar Bakshi,hinglish,debit_card,False,SUB0079,12,,,,,,,,
TXN0080,subscription,3ds_auth_fail,2499,0,2026-08-26,Aarini Mitter,hi,credit_card,False,SUB0080,1,,,,,,,,
TXN0081,subscription,3ds_auth_fail,999,1,2026-09-03,Anamika Kulkarni,hinglish,debit_card,False,SUB0081,0,,,,,,,,
TXN0082,checkout_abandonment,cart_abandoned,2999,0,2026-08-31,Laksh Varty,hi,,True,,,,,,,order_cart_0082,12,,
TXN0083,b2b_invoice,invoice_overdue,250000,2,2026-08-26,Aarnav Bava,hi,,False,,,INV0083,2026-08-25,PO-31188,"Cherian, Sahota and Nadig",,,,
TXN0084,subscription,mandate_revoked,999,2,2026-08-29,Jonathan Mistry,hi,netbanking,False,SUB0084,2,,,,,,,,
TXN0085,b2b_invoice,invoice_overdue,50000,1,2026-08-28,Radha Gala,en,,False,,,INV0085,2026-08-20,PO-43863,Pau LLC,,,,
TXN0086,one_time_payment,hard_decline,9999,1,2026-08-30,Turvi Comar,hi,netbanking,False,,,,,,,,,,
TXN0087,subscription,insufficient_funds,199,1,2026-08-31,Teerth Ravel,en,credit_card,True,SUB0087,4,,,,,,,,
TXN0088,one_time_payment,3ds_auth_fail,45000,2,2026-08-30,Amara Yogi,hi,upi_autopay,False,,,,,,,,,,
TXN0089,checkout_abandonment,cart_abandoned,1200,0,2026-08-22,Vasana Jha,hinglish,,True,,,,,,,order_cart_0089,30,,
TXN0090,one_time_payment,hard_decline,499,1,2026-08-26,Chaman Saxena,en,netbanking,False,,,,,,,,,,
TXN0091,subscription,card_expired,299,1,2026-09-05,Manbir Rao,hinglish,debit_card,False,SUB0091,10,,,,,,,,
TXN0092,subscription,3ds_auth_fail,1499,2,2026-09-04,Sai Golla,en,debit_card,False,SUB0092,9,,,,,,,,
TXN0093,subscription,bank_decline,999,0,2026-09-05,Gopal Ravi,en,debit_card,False,SUB0093,4,,,,,,,,
TXN0094,checkout_abandonment,cart_abandoned,2999,0,2026-08-28,Chatresh Mannan,en,,True,,,,,,,order_cart_0094,30,,
TXN0095,subscription,card_expired,499,2,2026-08-26,Benjamin Sane,hi,upi_autopay,False,SUB0095,3,,,,,,,,
TXN0096,one_time_payment,bank_decline,2999,0,2026-08-25,Vasatika Contractor,hi,netbanking,True,,,,,,,,,,
TXN0097,subscription,bank_decline,299,2,2026-09-04,Gaurang Vora,en,netbanking,False,SUB0097,4,,,,,,,,
TXN0098,one_time_payment,hard_decline,9999,1,2026-09-01,Balhaar Chaudhary,hi,upi_autopay,False,,,,,,,,,,
TXN0099,subscription,card_expired,999,2,2026-08-26,Harshil Kurian,en,credit_card,False,SUB0099,0,,,,,,,,
TXN0100,subscription,mandate_revoked,999,1,2026-08-25,Sathvik Bandi,en,credit_card,False,SUB0100,7,,,,,,,,
